======================================================================
PRIORITY FIX LIST
======================================================================

Priority | File | Score | Violations | C | H | M | L |
---------|------|-------|------------|---|---|---|---|
       1 | ui\setup\steps\calibration_step.py                 |    62 |         31 | 0 | 0 | 31 | 0 |
       2 | ui\analytics\comparison_dashboard.py               |    55 |         33 | 0 | 0 | 22 | 11 |
       3 | ui\coaching\widgets\progression_charts_widget.py   |    45 |         22 | 0 | 1 | 21 | 0 |
       4 | ui\coaching\widgets\stats_panel_widget.py          |    38 |         20 | 0 | 0 | 18 | 2 |
       5 | ui\coaching\widgets\heat_map.py                    |    23 |         11 | 0 | 1 | 10 | 0 |
       6 | ui\coaching\widgets\games\around_world_game.py     |    22 |         11 | 0 | 0 | 11 | 0 |
       7 | ui\coaching\widgets\games\target_scoring_game.py   |    22 |         11 | 0 | 0 | 11 | 0 |
       8 | ui\main_window.py                                  |    16 |         14 | 0 | 0 | 2 | 12 |
       9 | ui\coaching\widgets\games\speed_challenge_game.py  |    16 |          8 | 0 | 0 | 8 | 0 |
      10 | ui\coaching\coach_window.py                        |    15 |         12 | 0 | 0 | 3 | 9 |
      11 | ui\analytics\session_dashboard.py                  |    14 |         14 | 0 | 0 | 0 | 14 |
      12 | ui\coaching\widgets\mode_widgets\game_mode_view.py |    11 |          6 | 0 | 1 | 3 | 2 |
      13 | ui\setup\setup_window.py                           |    10 |          8 | 0 | 0 | 2 | 6 |
      14 | ui\coaching\widgets\games\tic_tac_toe_game.py      |    10 |          5 | 0 | 0 | 5 | 0 |
      15 | ui\dialogs\session_summary_dialog.py               |     8 |          8 | 0 | 0 | 0 | 8 |
      16 | ui\review\widgets\pitch_list_widget.py             |     8 |          5 | 0 | 0 | 3 | 2 |
      17 | ui\dialogs\calibration_guide.py                    |     7 |          3 | 0 | 1 | 2 | 0 |
      18 | ui\dialogs\checklist_dialog.py                     |     7 |          3 | 0 | 1 | 2 | 0 |
      19 | ui\dialogs\detector_settings_dialog.py             |     7 |          3 | 0 | 1 | 2 | 0 |
      20 | ui\dialogs\plate_plane_dialog.py                   |     7 |          3 | 0 | 1 | 2 | 0 |
      21 | ui\dialogs\recording_settings_dialog.py            |     7 |          3 | 0 | 1 | 2 | 0 |
      22 | ui\dialogs\startup_dialog.py                       |     7 |          3 | 0 | 1 | 2 | 0 |
      23 | ui\dialogs\strike_zone_settings_dialog.py          |     7 |          3 | 0 | 1 | 2 | 0 |
      24 | ui\team\team_manager.py                            |     7 |          7 | 0 | 0 | 0 | 7 |
      25 | ui\themes\glass_widgets.py                         |     7 |          3 | 0 | 1 | 2 | 0 |
      26 | ui\review\widgets\timeline_widget.py               |     7 |          3 | 0 | 1 | 2 | 0 |
      27 | ui\review\comparison_view.py                       |     6 |          5 | 0 | 0 | 1 | 4 |
      28 | ui\review\review_window.py                         |     5 |          5 | 0 | 0 | 0 | 5 |
      29 | ui\widgets\plate_map.py                            |     5 |          2 | 0 | 1 | 1 | 0 |
      30 | ui\coaching\widgets\fatigue_panel.py               |     5 |          5 | 0 | 0 | 0 | 5 |

Legend: C=Critical, H=High, M=Medium, L=Low

